IP,Time,Processor Time,Page Faults,Cache Faults,Available Bytes,Committed Bytes,Response Time
DESKTOP-Q00J1OI,09:48:40,36.598934,4972.7476,112.19576,1.00456858E9,1.61277788E10,11996920900
URMILA-PC,09:49:45,0.975638,4064.8599,0.0,4.22845235E9,5.4777324E9,7031604300
DESKTOP-Q00J1OI,09:49:42,28.475111,6003.2476,21.365292,9.7985331E8,1.6180994E10,7033477600
DESKTOP-Q00J1OI,09:50:24,23.605902,10043.027,6.984719,8.5472051E8,1.64150764E10,4552298600
URMILA-PC,09:50:25,0.812615,3582.4792,0.799081,4.2446889E9,5.4596362E9,4552956500
DESKTOP-Q00J1OI,09:50:56,29.879234,7228.388,3081.6497,7.0827622E8,1.64854211E10,6922496600
URMILA-PC,09:50:55,1.028963,3901.9019,12.398417,4.25056666E9,5.4540411E9,7473945300
URMILA-PC,09:50:55,1.028963,3901.9019,12.398417,4.25056666E9,5.4540411E9,7956475600
URMILA-PC,09:50:55,1.028963,3901.9019,12.398417,4.25056666E9,5.4540411E9,6927012500
DESKTOP-Q00J1OI,09:51:06,37.514294,4441.3657,1168.833,6.6623488E8,1.65003223E10,17983789100
DESKTOP-Q00J1OI,09:51:06,37.514294,4441.3657,1168.833,6.6623488E8,1.65003223E10,16954827400
URMILA-PC,09:51:05,1.921575,4057.0784,3.391705,4.25413427E9,5.4553313E9,6591942100
URMILA-PC,09:51:15,1.380716,4016.8428,10.794203,4.25414656E9,5.4538813E9,9346993600
DESKTOP-Q00J1OI,09:51:16,38.05937,4857.5337,583.84296,5.8968474E8,1.655006E10,9465908800
DESKTOP-Q00J1OI,09:51:16,38.05937,4857.5337,583.84296,5.8968474E8,1.655006E10,8318247300
DESKTOP-Q00J1OI,09:52:21,10.61924,1136.8405,10.790892,6.3301632E8,1.65512028E10,653551300
URMILA-PC,09:52:15,0.831132,3673.0806,0.0,4.25304883E9,5.4589481E9,655322600
DESKTOP-Q00J1OI,09:53:24,18.593817,14716.569,4436.1084,6.2281728E8,1.66093455E10,9972215100
URMILA-PC,09:53:25,2.725435,3108.2356,1.797476,4.21753242E9,5.5005184E9,9972630200
URMILA-PC,09:54:35,2.422507,4036.773,7.790684,4.23591117E9,5.5046103E9,20450630400
URMILA-PC,09:54:35,2.422507,4036.773,7.790684,4.23591117E9,5.5046103E9,22956796000
DESKTOP-Q00J1OI,09:54:38,29.312761,7629.333,30.228569,9.8748416E8,1.6639742E10,23762840600
URMILA-PC,09:54:55,2.579485,3970.176,2.594756,4.23601766E9,5.5037747E9,43732532800
DESKTOP-Q00J1OI,09:54:59,20.685575,4285.078,113.810844,9.6928154E8,1.6624169E10,22471991300
DESKTOP-Q00J1OI,09:54:59,20.685575,4285.078,113.810844,9.6928154E8,1.6624169E10,50148738700
URMILA-PC,09:55:25,1.728489,3946.4148,8.183028,4.23682048E9,5.500457E9,20052993600
DESKTOP-Q00J1OI,09:56:14,16.810446,2881.6729,282.49344,1.63353805E9,1.54903757E10,9366967400
DESKTOP-Q00J1OI,09:56:14,16.810446,2881.6729,282.49344,1.63353805E9,1.54903757E10,6135768800
URMILA-PC,09:56:25,2.435925,3256.1294,2.599465,4.2500096E9,5.4940549E9,21661150700
URMILA-PC,09:56:35,2.731763,3994.0447,0.0,4.2507223E9,5.491073E9,45170696400
URMILA-PC,09:56:35,2.731763,3994.0447,0.0,4.2507223E9,5.491073E9,28620693700
URMILA-PC,09:56:35,2.731763,3994.0447,0.0,4.2507223E9,5.491073E9,5874124400
DESKTOP-Q00J1OI,09:56:35,16.649881,8097.788,2236.1758,1.63251814E9,1.55056046E10,53030794300
DESKTOP-Q00J1OI,09:56:55,31.73261,4331.2905,98.95988,1.50106112E9,1.56188836E10,26121586500
URMILA-PC,09:57:05,3.541912,3978.6353,0.0,4.23125402E9,5.5161774E9,28340804500
URMILA-PC,09:57:05,3.541912,3978.6353,0.0,4.23125402E9,5.5161774E9,34285655000
DESKTOP-Q00J1OI,09:57:05,30.60294,4637.128,654.6816,1.46557747E9,1.56550758E10,35605580500
DESKTOP-Q00J1OI,09:57:16,13.468528,2993.1553,1143.5306,1.47141427E9,1.56360131E10,42540957400
URMILA-PC,09:57:25,1.499071,4073.5095,0.0,4.23165952E9,5.5188111E9,28731120100
URMILA-PC,09:57:25,1.499071,4073.5095,0.0,4.23165952E9,5.5188111E9,28747850500
URMILA-PC,09:57:25,1.499071,4073.5095,0.0,4.23165952E9,5.5188111E9,28814041500
DESKTOP-Q00J1OI,09:57:27,15.922167,2940.3694,1198.0911,1.45855693E9,1.56287754E10,29273953700
DESKTOP-Q00J1OI,09:57:27,15.922167,2940.3694,1198.0911,1.45855693E9,1.56287754E10,30359793300
DESKTOP-Q00J1OI,09:58:08,20.258282,1886.8557,472.66364,1.45762714E9,1.56453028E10,26488534000
URMILA-PC,09:58:35,1.686071,3191.5217,0.0,4.2683351E9,5.4608404E9,49103204800
URMILA-PC,09:58:35,1.686071,3191.5217,0.0,4.2683351E9,5.4608404E9,21080452700
URMILA-PC,09:58:35,1.686071,3191.5217,0.0,4.2683351E9,5.4608404E9,49109647000
DESKTOP-Q00J1OI,09:58:28,20.885584,14170.098,6684.309,1.44833741E9,1.56476539E10,95213928000
DESKTOP-Q00J1OI,09:58:28,20.885584,14170.098,6684.309,1.44833741E9,1.56476539E10,63678601600
DESKTOP-Q00J1OI,09:58:39,15.747138,2050.807,520.64636,1.46018304E9,1.56469903E10,52376481400
URMILA-PC,09:58:55,2.691865,3758.653,0.0,4.2724311E9,5.4546637E9,4100155900
URMILA-PC,09:59:15,13.140441,16790.688,76.35038,4.21633638E9,5.5072522E9,21143825800
URMILA-PC,09:59:15,13.140441,16790.688,76.35038,4.21633638E9,5.5072522E9,24156182600
DESKTOP-Q00J1OI,09:59:20,19.719772,14246.863,6513.5933,1.27929958E9,1.59105843E10,39423828900
DESKTOP-Q00J1OI,09:59:20,19.719772,14246.863,6513.5933,1.27929958E9,1.59105843E10,28021052300
DESKTOP-Q00J1OI,09:59:31,12.671442,5203.271,2128.9016,1.50827827E9,1.5683031E10,6692359700
DESKTOP-Q00J1OI,10:00:12,13.343703,3110.7305,1163.3008,1.49897626E9,1.57007749E10,48579051800
DESKTOP-Q00J1OI,10:00:12,13.343703,3110.7305,1163.3008,1.49897626E9,1.57007749E10,48574242500
URMILA-PC,10:00:15,5.021957,4072.303,0.199868,4.22115328E9,5.4945382E9,48811818300
URMILA-PC,10:00:25,1.855254,4549.161,0.798869,4.21476352E9,5.513257E9,49985498800
URMILA-PC,10:00:25,1.855254,4549.161,0.798869,4.21476352E9,5.513257E9,59837095300
DESKTOP-Q00J1OI,10:00:43,12.221739,2401.9858,726.16785,1.47587891E9,1.57118136E10,106385905800
DESKTOP-Q00J1OI,10:01:13,13.931206,4236.538,1898.7386,1.4733312E9,1.57396296E10,4660013300
DESKTOP-Q00J1OI,10:01:13,13.931206,4236.538,1898.7386,1.4733312E9,1.57396296E10,4971873400
DESKTOP-Q00J1OI,10:02:36,17.118101,4396.6304,1720.4813,1.21657344E9,1.58289551E10,63745140100
URMILA-PC,10:02:45,5.721412,12635.446,21.161892,4.15873024E9,5.5406346E9,74378223400
URMILA-PC,10:02:45,5.721412,12635.446,21.161892,4.15873024E9,5.5406346E9,91580412500
URMILA-PC,10:02:55,1.888798,3606.7341,1.79897,4.19716301E9,5.5012475E9,10093827700
DESKTOP-Q00J1OI,10:03:07,13.368138,4665.033,1858.8538,1.12082944E9,1.58350131E10,117907895100
DESKTOP-Q00J1OI,10:03:17,16.649237,3871.1108,1180.4849,1.08305613E9,1.58408663E10,30362769700
URMILA-PC,10:03:25,14.623407,46645.28,361.72897,3.77616794E9,5.9998126E9,134430050600
URMILA-PC,10:03:25,14.623407,46645.28,361.72897,3.77616794E9,5.9998126E9,134478879400
DESKTOP-Q00J1OI,10:03:38,19.306812,1489.1892,96.98627,1.04665907E9,1.58564475E10,8243953700
URMILA-PC,10:03:45,4.744912,3770.7114,17.589325,3.92852275E9,5.8931118E9,21116447200
URMILA-PC,10:03:45,4.744912,3770.7114,17.589325,3.92852275E9,5.8931118E9,21007320200
URMILA-PC,10:03:45,4.744912,3770.7114,17.589325,3.92852275E9,5.8931118E9,21003801200
DESKTOP-Q00J1OI,10:03:38,19.306812,1489.1892,96.98627,1.04665907E9,1.58564475E10,21159445000
DESKTOP-Q00J1OI,10:03:48,5.712898,997.0596,117.183495,1.11455846E9,1.58575206E10,28267645000
DESKTOP-Q00J1OI,10:03:48,5.712898,997.0596,117.183495,1.11455846E9,1.58575206E10,28155443700
DESKTOP-Q00J1OI,10:03:58,8.72088,1735.4604,439.36212,1.15178701E9,1.58650655E10,984002400
URMILA-PC,10:03:55,4.800458,5125.222,5.795502,3.96959334E9,5.8468803E9,22173059700
DESKTOP-Q00J1OI,10:04:09,7.19563,2711.6248,958.9966,1.15588301E9,1.58647255E10,11299333200
DESKTOP-Q00J1OI,10:04:19,10.085751,2951.3545,979.45215,1.15315917E9,1.58839603E10,20763062800
URMILA-PC,10:04:25,2.548339,4573.657,13.199011,4.2790912E9,5.5029842E9,21196658100
DESKTOP-Q00J1OI,10:04:29,13.905865,3318.5842,1494.0916,1.14248909E9,1.58867005E10,4121739500
URMILA-PC,10:04:55,2.338301,3305.7822,0.0,4.28092211E9,5.4962176E9,21423077200
DESKTOP-Q00J1OI,10:05:11,13.290271,2814.9612,965.8495,9.594921E8,1.59156429E10,30906295100
URMILA-PC,10:05:05,1.919833,4255.1753,0.0,4.28085658E9,5.5010959E9,70453098500
URMILA-PC,10:05:05,1.919833,4255.1753,0.0,4.28085658E9,5.5010959E9,49409317200
URMILA-PC,10:05:25,2.202164,4036.5186,0.199966,4.2796032E9,5.4986793E9,20614613300
DESKTOP-Q00J1OI,10:05:21,18.55196,2365.3564,850.4248,9.2408218E8,1.59242813E10,21059349400
DESKTOP-Q00J1OI,10:05:42,10.868612,2678.6575,680.9129,9.1338342E8,1.59398748E10,14875741000
URMILA-PC,10:05:35,1.893985,4120.491,12.78229,4.27845222E9,5.496447E9,20634661300
URMILA-PC,10:06:15,5.248316,5580.593,14.192352,4.27542938E9,5.4998344E9,20025522600
URMILA-PC,10:06:25,4.189723,7846.3525,1.198862,4.27567104E9,5.5056876E9,93675470100
DESKTOP-Q00J1OI,10:06:24,15.133197,3642.2087,997.0359,1.37161114E9,1.59325716E10,21953385600
URMILA-PC,10:06:35,5.4357,8823.861,0.799933,4.27620762E9,5.4998548E9,20635296200
DESKTOP-Q00J1OI,10:06:34,15.726632,6605.2466,2909.5442,1.33695488E9,1.59485542E10,38253334900
DESKTOP-Q00J1OI,10:06:34,15.726632,6605.2466,2909.5442,1.33695488E9,1.59485542E10,26797374300
URMILA-PC,10:06:45,2.483014,6416.4536,0.199467,4.27555635E9,5.4949274E9,51424678000
DESKTOP-Q00J1OI,10:07:04,38.675415,17560.799,2669.4202,1.21366528E9,1.60888136E10,132299572300
DESKTOP-Q00J1OI,10:07:04,38.675415,17560.799,2669.4202,1.21366528E9,1.60888136E10,20583843300
URMILA-PC,10:07:05,2.243972,4002.0315,13.565532,4.27517542E9,5.4965043E9,20592026500
DESKTOP-Q00J1OI,10:07:14,36.12146,19556.826,7870.6934,1.16912947E9,1.61625006E10,30247714600
DESKTOP-Q00J1OI,10:07:14,36.12146,19556.826,7870.6934,1.16912947E9,1.61625006E10,6197777000
URMILA-PC,10:07:15,3.301335,4386.368,0.599149,4.27718246E9,5.49009E9,30244435100
DESKTOP-Q00J1OI,10:07:14,36.12146,19556.826,7870.6934,1.16912947E9,1.61625006E10,30244487800
URMILA-PC,10:07:15,3.301335,4386.368,0.599149,4.27718246E9,5.49009E9,6200335300
URMILA-PC,10:07:15,3.301335,4386.368,0.599149,4.27718246E9,5.49009E9,30249675200
DESKTOP-Q00J1OI,10:07:25,45.706062,19967.465,7099.1255,1.05486746E9,1.6308224E10,20332744400
URMILA-PC,10:07:25,2.465788,3571.354,3.798037,4.27751834E9,5.4902538E9,20332867100
URMILA-PC,10:07:25,2.465788,3571.354,3.798037,4.27751834E9,5.4902538E9,9590628200
URMILA-PC,10:07:25,2.465788,3571.354,3.798037,4.27751834E9,5.4902538E9,9586844300
URMILA-PC,10:07:25,2.465788,3571.354,3.798037,4.27751834E9,5.4902538E9,9588904400
DESKTOP-Q00J1OI,10:07:35,50.010277,20169.95,5405.353,9.7140736E8,1.6408191E10,19599480000
DESKTOP-Q00J1OI,10:07:35,50.010277,20169.95,5405.353,9.7140736E8,1.6408191E10,19603397800
DESKTOP-Q00J1OI,10:07:35,50.010277,20169.95,5405.353,9.7140736E8,1.6408191E10,9409617900
URMILA-PC,10:07:35,3.15608,4437.799,2.797982,4.27454874E9,5.4981878E9,9405914400
DESKTOP-Q00J1OI,10:07:35,50.010277,20169.95,5405.353,9.7140736E8,1.6408191E10,19602220900
DESKTOP-Q00J1OI,10:07:35,50.010277,20169.95,5405.353,9.7140736E8,1.6408191E10,9374158700
URMILA-PC,10:07:55,2.160553,4259.284,3.796331,4.26603315E9,5.4996296E9,16019223200
URMILA-PC,10:07:55,2.160553,4259.284,3.796331,4.26603315E9,5.4996296E9,26094233100
DESKTOP-Q00J1OI,10:07:55,37.510498,8512.672,29.195444,8.4312064E8,1.65312635E10,16019254300
URMILA-PC,10:07:55,2.160553,4259.284,3.796331,4.26603315E9,5.4996296E9,16017962800
URMILA-PC,10:07:55,2.160553,4259.284,3.796331,4.26603315E9,5.4996296E9,16251324600
DESKTOP-Q00J1OI,10:07:55,37.510498,8512.672,29.195444,8.4312064E8,1.65312635E10,16251175100
DESKTOP-Q00J1OI,10:08:15,39.03658,10140.025,192.6295,6.9595546E8,1.67107052E10,36022542600
URMILA-PC,10:08:25,3.329693,4438.446,12.76275,4.2513367E9,5.5174021E9,20733787700
DESKTOP-Q00J1OI,10:08:15,39.03658,10140.025,192.6295,6.9595546E8,1.67107052E10,20848039000
URMILA-PC,10:08:25,3.329693,4438.446,12.76275,4.2513367E9,5.5174021E9,3140532400
DESKTOP-Q00J1OI,10:08:26,45.49313,13524.625,86.243286,5.10926848E8,1.6866263E10,3140845900
DESKTOP-Q00J1OI,10:08:26,45.49313,13524.625,86.243286,5.10926848E8,1.6866263E10,3141632900
URMILA-PC,10:08:25,3.329693,4438.446,12.76275,4.2513367E9,5.5174021E9,3141876800
URMILA-PC,10:08:25,3.329693,4438.446,12.76275,4.2513367E9,5.5174021E9,3139330300
DESKTOP-Q00J1OI,10:08:26,45.49313,13524.625,86.243286,5.10926848E8,1.6866263E10,351849000
DESKTOP-Q00J1OI,10:08:26,45.49313,13524.625,86.243286,5.10926848E8,1.6866263E10,3783289900
URMILA-PC,10:08:25,3.329693,4438.446,12.76275,4.2513367E9,5.5174021E9,837699800
DESKTOP-Q00J1OI,10:08:26,45.49313,13524.625,86.243286,5.10926848E8,1.6866263E10,1667037300
URMILA-PC,10:08:25,3.329693,4438.446,12.76275,4.2513367E9,5.5174021E9,1661967900
DESKTOP-Q00J1OI,10:08:36,59.973007,27719.053,621.80707,3.36216064E8,1.69988424E10,2027973400
URMILA-PC,10:08:35,2.556333,4249.2583,0.799221,4.27749786E9,5.4919209E9,2028607800
DESKTOP-Q00J1OI,10:08:36,59.973007,27719.053,621.80707,3.36216064E8,1.69988424E10,7847172900
URMILA-PC,10:08:35,2.556333,4249.2583,0.799221,4.27749786E9,5.4919209E9,7849874700
URMILA-PC,10:08:35,2.556333,4249.2583,0.799221,4.27749786E9,5.4919209E9,6899808000
DESKTOP-Q00J1OI,10:08:36,59.973007,27719.053,621.80707,3.36216064E8,1.69988424E10,9008618700
DESKTOP-Q00J1OI,10:08:36,59.973007,27719.053,621.80707,3.36216064E8,1.69988424E10,4983762700
URMILA-PC,10:08:35,2.556333,4249.2583,0.799221,4.27749786E9,5.4919209E9,4616012300
DESKTOP-Q00J1OI,10:08:36,59.973007,27719.053,621.80707,3.36216064E8,1.69988424E10,2817782000
DESKTOP-Q00J1OI,10:08:46,52.38086,12366.505,369.43866,3.88800512E8,1.69340232E10,5741902000
DESKTOP-Q00J1OI,10:08:46,52.38086,12366.505,369.43866,3.88800512E8,1.69340232E10,5741692200
URMILA-PC,10:08:45,3.090624,4184.6494,0.0,4.2735616E9,5.4933463E9,5743170300
URMILA-PC,10:08:45,3.090624,4184.6494,0.0,4.2735616E9,5.4933463E9,5868093200
URMILA-PC,10:08:45,3.090624,4184.6494,0.0,4.2735616E9,5.4933463E9,5789262100
DESKTOP-Q00J1OI,10:08:46,52.38086,12366.505,369.43866,3.88800512E8,1.69340232E10,5789462600
DESKTOP-Q00J1OI,10:08:46,52.38086,12366.505,369.43866,3.88800512E8,1.69340232E10,20171537200
URMILA-PC,10:08:55,2.326568,4212.7085,15.383599,4.2750976E9,5.4886932E9,20955013600
URMILA-PC,10:08:55,2.326568,4212.7085,15.383599,4.2750976E9,5.4886932E9,1335390800
URMILA-PC,10:08:55,2.326568,4212.7085,15.383599,4.2750976E9,5.4886932E9,130927260300
URMILA-PC,10:08:55,2.326568,4212.7085,15.383599,4.2750976E9,5.4886932E9,3869028200
DESKTOP-Q00J1OI,10:08:56,41.724735,17427.512,572.7314,4.94907392E8,1.68469299E10,3868499700
URMILA-PC,10:09:05,1.767799,3286.306,0.799588,4.27644518E9,5.4827663E9,1269523500
DESKTOP-Q00J1OI,10:09:06,37.87164,13652.123,149.24174,3.31538432E8,1.70380206E10,1267847500
URMILA-PC,10:09:05,1.767799,3286.306,0.799588,4.27644518E9,5.4827663E9,1267862000
DESKTOP-Q00J1OI,10:09:05,37.87164,13652.123,149.24174,3.31538432E8,1.70380206E10,1269221000
DESKTOP-Q00J1OI,10:09:06,37.87164,13652.123,149.24174,3.31538432E8,1.70380206E10,1270554500
URMILA-PC,10:09:05,1.767799,3286.306,0.799588,4.27644518E9,5.4827663E9,1269754700
URMILA-PC,10:09:05,1.767799,3286.306,0.799588,4.27644518E9,5.4827663E9,122395500
DESKTOP-Q00J1OI,10:09:06,37.87164,13652.123,149.24174,3.31538432E8,1.70380206E10,122357200
DESKTOP-Q00J1OI,10:09:06,37.87164,13652.123,149.24174,3.31538432E8,1.70380206E10,4338811300
DESKTOP-Q00J1OI,10:09:06,37.87164,13652.123,149.24174,3.31538432E8,1.70380206E10,123761000
URMILA-PC,10:09:05,1.767799,3286.306,0.799588,4.27644518E9,5.4827663E9,124294300
DESKTOP-Q00J1OI,10:09:06,37.87164,13652.123,149.24174,3.31538432E8,1.70380206E10,124200700
URMILA-PC,10:09:05,1.767799,3286.306,0.799588,4.27644518E9,5.4827663E9,2750318100
URMILA-PC,10:09:15,2.902753,4092.8042,0.0,4.27631411E9,5.488427E9,4758019000
DESKTOP-Q00J1OI,10:09:16,48.95095,21670.977,3232.2637,3.40688896E8,1.70238689E10,1255915600
DESKTOP-Q00J1OI,10:09:16,48.95095,21670.977,3232.2637,3.40688896E8,1.70238689E10,1255039700
URMILA-PC,10:09:15,2.902753,4092.8042,0.0,4.27631411E9,5.488427E9,1255939400
DESKTOP-Q00J1OI,10:09:16,48.95095,21670.977,3232.2637,3.40688896E8,1.70238689E10,1400309800
URMILA-PC,10:09:15,2.902753,4092.8042,0.0,4.27631411E9,5.488427E9,1400301200
URMILA-PC,10:09:15,2.902753,4092.8042,0.0,4.27631411E9,5.488427E9,4901253700
DESKTOP-Q00J1OI,10:09:16,48.95095,21670.977,3232.2637,3.40688896E8,1.70238689E10,4900528900
DESKTOP-Q00J1OI,10:09:16,48.95095,21670.977,3232.2637,3.40688896E8,1.70238689E10,4900748000
URMILA-PC,10:09:15,2.902753,4092.8042,0.0,4.27631411E9,5.488427E9,4902164800
DESKTOP-Q00J1OI,10:09:16,48.95095,21670.977,3232.2637,3.40688896E8,1.70238689E10,4901324100
URMILA-PC,10:09:15,2.902753,4092.8042,0.0,4.27631411E9,5.488427E9,4899455100
URMILA-PC,10:09:15,2.902753,4092.8042,0.0,4.27631411E9,5.488427E9,20121004200
DESKTOP-Q00J1OI,10:09:16,48.95095,21670.977,3232.2637,3.40688896E8,1.70238689E10,20584144700
URMILA-PC,10:09:25,2.223345,4279.5825,12.790384,4.27508941E9,5.4858138E9,22204386100
DESKTOP-Q00J1OI,10:09:26,50.38392,15893.259,225.64589,3.51268864E8,1.70409738E10,4541080600
DESKTOP-Q00J1OI,10:09:26,50.38392,15893.259,225.64589,3.51268864E8,1.70409738E10,4540894700
URMILA-PC,10:09:25,2.223345,4279.5825,12.790384,4.27508941E9,5.4858138E9,4542250600
DESKTOP-Q00J1OI,10:09:26,50.38392,15893.259,225.64589,3.51268864E8,1.70409738E10,4540235900
URMILA-PC,10:09:25,2.223345,4279.5825,12.790384,4.27508941E9,5.4858138E9,4540383500
URMILA-PC,10:09:25,2.223345,4279.5825,12.790384,4.27508941E9,5.4858138E9,9541085700
URMILA-PC,10:09:25,2.223345,4279.5825,12.790384,4.27508941E9,5.4858138E9,790645700
DESKTOP-Q00J1OI,10:10:17,25.52818,1216.862,0.799384,7.8252032E8,1.65794857E10,44984739500
URMILA-PC,10:10:15,3.668017,4134.955,0.0,4.26848666E9,5.4736896E9,20103937700
DESKTOP-Q00J1OI,10:10:17,25.52818,1216.862,0.799384,7.8252032E8,1.65794857E10,20686798600
DESKTOP-Q00J1OI,10:10:38,24.610731,7834.6104,294.78534,7.8084915E8,1.65700854E10,3918139800
URMILA-PC,10:10:45,1.677212,4093.0933,0.0,4.25819341E9,5.485056E9,3917993800
URMILA-PC,10:10:45,1.677212,4093.0933,0.0,4.25819341E9,5.485056E9,3919585000
DESKTOP-Q00J1OI,10:10:38,24.610731,7834.6104,294.78534,7.8084915E8,1.65700854E10,3918964500
URMILA-PC,10:11:15,1.604606,3257.76,0.0,4.24840397E9,5.4858875E9,28017061100
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,139173224700
URMILA-PC,10:11:15,1.604606,3257.76,0.0,4.24840397E9,5.4858875E9,20050137700
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,20933593100
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,7424286400
URMILA-PC,10:11:25,1.994802,4184.7876,0.799654,4.26023731E9,5.4874931E9,6128223200
URMILA-PC,10:11:25,1.994802,4184.7876,0.799654,4.26023731E9,5.4874931E9,201658400
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,200185400
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,644627400
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,3818888300
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,20441010300
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,3757971200
URMILA-PC,10:11:55,2.36842,4333.269,12.792528,4.23041843E9,5.5199785E9,7162153300
URMILA-PC,10:12:15,2.056449,4290.979,1.599619,4.23401472E9,5.515391E9,42118902700
URMILA-PC,10:12:15,2.056449,4290.979,1.599619,4.23401472E9,5.515391E9,42122767800
URMILA-PC,10:12:15,2.056449,4290.979,1.599619,4.23401472E9,5.515391E9,763587400
URMILA-PC,10:12:25,3.812952,5454.2524,12.760351,4.23543194E9,5.5136215E9,20824198600
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21034794600
URMILA-PC,10:12:35,1.412203,3541.6084,0.199978,4.23838106E9,5.5110287E9,61561382600
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21007435700
URMILA-PC,10:12:35,1.412203,3541.6084,0.199978,4.23838106E9,5.5110287E9,53456207500
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,91786071000
URMILA-PC,10:13:25,1.639777,3640.4377,0.0,4.25257779E9,5.4885663E9,20789875700
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21022145200
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21005829500
URMILA-PC,10:14:25,2.692113,4744.914,0.39969,4.18602598E9,5.54496E9,20721778900
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21007800900
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21001960600
URMILA-PC,10:14:45,2.918114,5358.7847,78.17643,4.19990733E9,5.4965084E9,798454900
URMILA-PC,10:14:55,2.924321,3921.699,1.198197,4.2033111E9,5.4962135E9,7179435500
URMILA-PC,10:14:55,2.924321,3921.699,1.198197,4.2033111E9,5.4962135E9,4755164900
URMILA-PC,10:15:05,12.141785,10138.075,77.96981,4.18645197E9,5.5141704E9,111188545900
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21007454700
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21000845500
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21005252400
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21015173300
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21006898700
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21006398900
URMILA-PC,10:15:25,3.341034,4506.7563,12.756288,4.23051264E9,5.472002E9,20195132400
URMILA-PC,10:15:25,3.341034,4506.7563,12.756288,4.23051264E9,5.472002E9,36063206200
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21028745200
URMILA-PC,10:15:25,3.341034,4506.7563,12.756288,4.23051264E9,5.472002E9,32575337900
URMILA-PC,10:15:25,3.341034,4506.7563,12.756288,4.23051264E9,5.472002E9,26278803100
URMILA-PC,10:15:25,3.341034,4506.7563,12.756288,4.23051264E9,5.472002E9,852692400
URMILA-PC,10:15:25,3.341034,4506.7563,12.756288,4.23051264E9,5.472002E9,29665909100
URMILA-PC,10:15:35,2.282419,4515.1323,2.198701,4.23131955E9,5.4717604E9,797859600
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21005271100
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21017525100
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21004680100
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21008872300
URMILA-PC,10:16:15,2.165526,4102.26,21.171408,4.24465613E9,5.4479094E9,43995635800
URMILA-PC,10:16:25,2.421048,4035.5383,0.0,4.24819507E9,5.4448824E9,20101910500
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21014010600
URMILA-PC,10:17:25,4.271266,4049.3682,6.998562,4.25363046E9,5.4936003E9,20060751900
DESKTOP-Q00J1OI,10:11:09,29.352743,4518.586,303.35736,7.7495501E8,1.65238006E10,21002071700
DESKTOP-Q00J1OI,17:52:25,15.461077,3612.6892,111.49414,1.08967936E9,1.61800724E10,12516018600
URMILA-PC,17:52:31,4.85373,5407.635,406.0817,4.5210378E9,4.9473864E9,20268265600
