IP,Time,Processor Time,Page Faults,Cache Faults,Available Bytes,Committed Bytes,Response Time
mahananda,11:49:53,7.408992,558.93005,1.198135,1.30793472E9,4.4980347E9,2474138600
URMILA-PC,11:49:55,7.711621,12635.603,366.3739,4.26943693E9,5.4450995E9,2472711300
DESKTOP-Q00J1OI,11:50:43,35.265892,4466.0303,2.195787,1.08729958E9,1.22224026E10,40787132300
mahananda,11:51:35,3.444345,1123.6095,13.188374,1.27002624E9,4.5400474E9,51373452600
URMILA-PC,11:52:45,9.805823,13626.491,38.167206,4.21462016E9,5.4936863E9,43522938100
DESKTOP-Q00J1OI,11:52:54,26.759657,1555.2544,1.597385,1.12992256E9,1.24966953E10,28832182700
mahananda,11:53:26,14.033856,1359.322,25.161537,1.13650483E9,4.8009585E9,20448178200
URMILA-PC,11:53:45,1.830032,4542.8525,7.194698,4.3274076E9,5.3579244E9,6245477500
DESKTOP-Q00J1OI,11:53:46,36.48732,4240.691,0.995748,1.1063296E9,1.25072794E10,3927775100
mahananda,11:53:56,5.971099,992.82404,2.397161,1.15247514E9,4.7832269E9,6267225300
URMILA-PC,11:53:55,1.735793,3754.0784,9.187466,4.3271496E9,5.356118E9,6395317900
DESKTOP-Q00J1OI,11:53:56,36.303463,7772.8228,253.37907,1.07850547E9,1.25302497E10,4041659600
mahananda,11:55:37,8.213222,166.0351,13.786308,1.16211302E9,4.7713239E9,4685235800
URMILA-PC,11:55:35,3.30664,7553.719,32.178356,4.3195924E9,5.3661819E9,4565280600
DESKTOP-Q00J1OI,11:55:58,19.94331,1457.7319,0.598085,9.971712E8,1.25660078E10,4980095900
mahananda,11:56:38,11.914037,4172.651,75.10013,1.17663744E9,4.7935693E9,43005556900
URMILA-PC,11:56:55,5.038819,12817.075,52.35701,4.2961224E9,5.3659238E9,562474600
DESKTOP-Q00J1OI,11:57:01,27.14074,2129.6558,10.373967,1.10152499E9,1.25835387E10,5655932400
mahananda,11:56:58,9.409627,706.57965,2.396539,1.237504E9,4.7166792E9,4854810500
URMILA-PC,11:57:25,2.348694,5869.636,12.194673,4.3220787E9,5.3485732E9,6350812800
DESKTOP-Q00J1OI,11:57:42,23.688719,3108.7927,17.345282,1.26088397E9,1.23097211E10,12312333700
mahananda,11:57:49,28.362345,3881.4326,259.508,1.25582131E9,4.7560335E9,8539342600
URMILA-PC,11:57:45,1.78394,4412.977,5.59642,4.4007465E9,5.2699095E9,7756176100
DESKTOP-Q00J1OI,11:57:52,25.567375,3654.4165,226.90298,1.20119706E9,1.23864064E10,4065736300
mahananda,11:58:39,21.657293,3172.1484,148.22003,1.25525197E9,4.7544852E9,35100003200
URMILA-PC,11:58:35,2.477259,5020.987,6.396161,4.3932385E9,5.2742103E9,16604416200
DESKTOP-Q00J1OI,11:58:53,45.46191,11882.019,246.4398,1.05897984E9,1.25396296E10,19925821000
mahananda,11:59:00,22.804346,2767.3235,147.46803,1.25332685E9,4.7560786E9,4745610800
URMILA-PC,11:59:25,4.280131,6110.044,119.47571,4.3090084E9,5.426688E9,26566022800
DESKTOP-Q00J1OI,11:59:43,41.8763,8566.76,15.139489,1.04444723E9,1.25624607E10,17252416700
mahananda,11:59:50,5.623676,5822.9927,1014.1628,1.35558349E9,4.638421E9,9021694500
URMILA-PC,11:59:45,3.117903,4827.416,4.398557,4.3358167E9,5.4047416E9,1317912000
mahananda,12:00:00,0.838558,228.10782,1.596555,1.36251392E9,4.631978E9,7404948700
DESKTOP-Q00J1OI,11:59:53,33.373314,1959.3025,19.772778,1.0714112E9,1.25102039E10,7974128400
URMILA-PC,12:00:15,1.851048,4917.8267,4.595726,4.331307E9,5.4015754E9,18016717100
DESKTOP-Q00J1OI,12:00:24,49.2121,13047.192,366.0779,9.7778074E8,1.26145905E10,9440055800
mahananda,12:00:41,6.252282,535.72205,0.599465,1.35814758E9,4.6328381E9,5520284400
URMILA-PC,12:00:45,5.958139,10466.417,169.29028,4.3388477E9,5.3904425E9,9918587200
DESKTOP-Q00J1OI,12:00:44,21.177616,1464.1248,1.595559,1.00887757E9,1.25720576E10,9604046700
mahananda,12:02:01,33.27854,4100.397,205.95784,1.24829696E9,4.744446E9,68057008500
URMILA-PC,12:02:25,2.23243,4247.7466,3.589645,4.4026839E9,5.3136425E9,78001961300
DESKTOP-Q00J1OI,12:02:36,37.38922,2157.2566,0.795229,1.08095898E9,1.27997993E10,3867490600
URMILA-PC,12:02:35,3.055224,6035.808,8.595739,4.3913994E9,5.3225964E9,1097305300
mahananda,12:02:32,10.632265,1415.6469,6.793507,1.37220096E9,4.6571028E9,3403293100
DESKTOP-Q00J1OI,12:02:46,54.73171,12753.159,401.30783,1.03170458E9,1.28696115E10,9865415400
mahananda,12:03:32,10.335331,569.92865,5.193882,1.34730138E9,4.668076E9,48052251600
URMILA-PC,12:03:35,1.169405,3748.6892,4.798066,4.3951596E9,5.3201715E9,6515663900
DESKTOP-Q00J1OI,12:04:29,25.264282,5522.0103,128.33981,1.07604787E9,1.27491686E10,58163080800
mahananda,12:04:33,9.824088,2045.0957,28.16001,1.31142042E9,4.7131116E9,21868008700
URMILA-PC,12:05:25,4.60745,5446.639,12.794923,4.3693588E9,5.3245665E9,42832775900
DESKTOP-Q00J1OI,12:05:30,30.682716,1736.4584,6.386973,1.09576602E9,1.2742529E10,719667400
mahananda,12:05:24,13.632226,1221.5669,103.011696,1.29580237E9,4.7117804E9,612703900
DESKTOP-Q00J1OI,12:05:30,30.682716,1736.4584,6.386973,1.09576602E9,1.2742529E10,146103300
URMILA-PC,12:05:25,4.60745,5446.639,12.794923,4.3693588E9,5.3245665E9,750752000
URMILA-PC,12:05:25,4.60745,5446.639,12.794923,4.3693588E9,5.3245665E9,3306200
mahananda,12:05:34,34.375732,4226.501,280.64813,1.27536333E9,4.7357256E9,4254382400
DESKTOP-Q00J1OI,12:05:40,48.356754,9677.904,264.81482,8.9443942E8,1.29430692E10,9998162200
mahananda,12:05:54,17.570635,5827.466,211.22116,1.31648307E9,4.6911775E9,6148526500
URMILA-PC,12:06:05,2.878488,4551.3486,1.59956,4.3575091E9,5.3494579E9,7871733300
DESKTOP-Q00J1OI,12:06:10,29.672596,1908.6976,0.398767,1.0443817E9,1.28596705E10,3557933300
mahananda,12:06:14,31.155254,5718.8438,290.53806,1.29203405E9,4.7187722E9,3955305800
URMILA-PC,12:06:55,1.801135,4816.7837,0.596999,4.3750359E9,5.3333647E9,43865728200
DESKTOP-Q00J1OI,12:07:21,20.376007,1543.1047,5.395471,1.12301261E9,1.28958095E10,55079201000
URMILA-PC,12:07:35,4.359173,4650.3164,17.5959,4.3723489E9,5.323989E9,7741827200
mahananda,12:07:55,28.338594,5715.373,283.06992,1.34803046E9,4.7163146E9,35105971500
DESKTOP-Q00J1OI,12:08:01,19.699577,1294.3652,1.796066,1.06062643E9,1.29500856E10,19936440700
URMILA-PC,12:08:05,1.654394,4115.549,13.177423,4.3261338E9,5.3849457E9,1175701700
mahananda,12:08:05,33.29094,4540.6377,274.8391,1.35591526E9,4.7101624E9,7384753600
DESKTOP-Q00J1OI,12:08:22,43.713905,7671.272,106.589806,9.8639462E8,1.30221056E10,9958680100
mahananda,12:08:16,9.339923,392.27655,13.18241,1.35893811E9,4.6874665E9,1208646300
URMILA-PC,12:08:45,5.538266,10452.07,140.43971,4.323201E9,5.3881569E9,9249869000
mahananda,12:09:57,34.44667,3703.8503,182.26118,1.34281626E9,4.7141192E9,6580944700
DESKTOP-Q00J1OI,12:09:53,36.72874,3857.6736,0.797988,8.7739597E8,1.31310182E10,7332233400
URMILA-PC,12:10:15,1.148944,3507.8801,2.993412,4.4580209E9,5.2302111E9,6215985600
DESKTOP-Q00J1OI,12:10:33,36.25023,2050.602,9.975686,8.860713E8,1.31222118E10,1558391600
mahananda,12:10:57,36.32077,14628.324,376.98572,1.19473357E9,4.8413532E9,7194929300
URMILA-PC,12:11:35,0.913156,3494.0737,2.399639,4.4487885E9,5.2392509E9,32546555900
mahananda,12:11:38,27.595535,5086.495,192.74593,1.21242419E9,4.8354632E9,1139768900
DESKTOP-Q00J1OI,12:12:05,26.758966,1360.7036,7.588309,1.10843085E9,1.3117399E10,53195057600
URMILA-PC,12:12:35,5.865527,11810.912,869.96906,4.3466179E9,5.3273723E9,27461189800
mahananda,12:12:58,38.74125,11436.785,414.89883,1.26393958E9,4.8194068E9,3488094500
DESKTOP-Q00J1OI,12:12:55,20.42846,3566.1487,85.59236,1.13835622E9,1.307102E10,40773924300
URMILA-PC,12:13:05,5.715309,12919.716,1210.0422,4.3729879E9,5.2795146E9,7771540000
DESKTOP-Q00J1OI,12:13:26,38.20689,2720.9304,4.588079,1.078272E9,1.31392553E10,16603180900
mahananda,12:13:29,7.46028,1347.7192,34.357155,1.29419674E9,4.7809618E9,10247370400
URMILA-PC,12:13:45,6.773047,10670.009,1014.55554,4.3421819E9,5.29485E9,10811011400
DESKTOP-Q00J1OI,12:13:56,37.21491,2072.9055,138.79195,1.04531558E9,1.31842007E10,11959204800
mahananda,12:14:09,11.338334,3110.9045,82.17559,1.32605952E9,4.7466578E9,7424204600
URMILA-PC,12:14:15,6.949111,10197.709,916.4683,4.26244506E9,5.3905818E9,5978482200
DESKTOP-Q00J1OI,12:14:37,4.913316,1369.3845,5.586881,1.0264576E9,1.31809526E10,2810228600
mahananda,12:15:00,12.747706,2935.136,15.569955,1.36112128E9,4.7107031E9,9085926500
URMILA-PC,12:15:05,7.263629,12155.082,1358.4728,4.3152589E9,5.3188526E9,4005831800
DESKTOP-Q00J1OI,12:15:18,37.64631,15062.676,140.9702,8.4056474E8,1.33937316E10,8497012100
mahananda,12:16:21,5.576636,876.73517,20.779503,1.39193139E9,4.6588477E9,9210253500
URMILA-PC,12:16:25,6.269844,13484.69,1436.5148,4.3939389E9,5.2365353E9,3928359400
DESKTOP-Q00J1OI,12:16:49,45.46993,3559.3247,4.769881,1.05196339E9,1.34007153E10,4819263600
mahananda,12:17:11,13.198769,2235.4746,34.96988,1.39890688E9,4.6645821E9,24651498100
URMILA-PC,12:18:25,13.435209,22128.78,1452.8987,4.20072653E9,5.4408028E9,55002606700
DESKTOP-Q00J1OI,12:19:11,15.926709,2716.9978,0.797885,9.6087245E8,1.34162145E10,9500729400
mahananda,12:19:02,8.686158,1234.3589,47.751984,1.39422106E9,4.6802657E9,9283383700
URMILA-PC,12:19:15,4.125062,5821.5396,21.18668,4.26351411E9,5.4185329E9,8645250400
DESKTOP-Q00J1OI,12:19:21,40.103565,3608.834,2.990416,9.4842061E8,1.34266839E10,559799900
mahananda,12:19:23,12.602323,3030.0986,128.05203,1.34521651E9,4.739498E9,1246124500
DESKTOP-Q00J1OI,12:19:31,43.485535,9929.903,257.0384,9.5469568E8,1.33634089E10,8466411500
URMILA-PC,12:19:25,2.417343,4243.1377,1.998463,4.26122035E9,5.3961933E9,8466836300
mahananda,12:19:33,13.311481,1660.7588,90.21307,1.34465946E9,4.7217951E9,7564962300
URMILA-PC,12:19:45,3.920996,4246.8047,3.599495,4.3088773E9,5.3520998E9,8184235400
